state,county,zip
New Mexico,Santa Fe,87010
New Jersey,Ocean,08701
Texas,Fort Bend,77494
Texas,Harris,77494
Texas,Waller,77494
Texas,Harris,77449
New York,Queens,11368
California,Los Angeles,90011
New York,Queens,11385
Texas,Harris,77084
New York,Kings,11208
Texas,El Paso,79936
Illinois,Cook,60629
California,Los Angeles,90650
Texas,Harris,77433
California,Los Angeles,91331
New York,Kings,11236
New York,Bronx,10467
Tennessee,Davidson,37013
New York,Queens,11373
California,Contra Costa,94565
California,Los Angeles,90044
New York,Kings,11226
Georgia,Gwinnett,30044
California,San Bernardino,92336
New York,Kings,11207
California,San Bernardino,92335
New York,New York,10025
California,Los Angeles,90805
California,Los Angeles,90250
California,Los Angeles,90201
Texas,Tarrant,75052
Texas,Dallas,75052
New York,Kings,11214
Texas,Galveston,77573
Texas,Harris,77573
Illinois,Cook,60618
New York,Kings,11234
New York,Richmond,10314
New York,Richmond,10311
New York,Kings,11220
California,Los Angeles,90280
New York,Kings,11219
California,Los Angeles,91342
New York,Kings,11230
Texas,El Paso,79938
Texas,Hudspeth,79938
California,Orange,92683
Texas,Bexar,78245
New York,Kings,11206
New York,Bronx,10456
California,Riverside,92503
Texas,Fort Bend,77479
New York,Kings,11221
Texas,Fort Bend,77584
Texas,Brazoria,77584
Illinois,Cook,60639
Texas,Cameron,78521
California,San Diego,91911
Georgia,Gwinnett,30043
Texas,Harris,77429
California,Madera,93722
California,Fresno,93722
California,San Bernardino,92345
Texas,Dallas,75217
Illinois,Cook,60632
California,Kern,93307
California,San Bernardino,92376
New York,Bronx,10458
California,Orange,92804
Texas,Williamson,78613
Texas,Travis,78613
California,Monterey,95076
California,Santa Cruz,95076
California,Santa Clara,95076
New York,Kings,11233
Illinois,Cook,60647
New York,Kings,11229
New York,Queens,11377
California,San Diego,92154
California,San Diego,92179
Illinois,Cook,60804
New York,Kings,11235
Texas,Hidalgo,78540
Texas,Hidalgo,78549
Texas,Hidalgo,78542
Texas,Guadalupe,78130
Texas,Hays,78130
Texas,Comal,78130
California,San Francisco,94112
California,San Mateo,94112
Illinois,Cook,60617
California,Ventura,93033
Washington,Franklin,99301
Texas,Caldwell,78666
Texas,Hays,78666
Texas,Guadalupe,78666
Texas,Comal,78666
Georgia,Forsyth,30024
Georgia,Gwinnett,30024
Georgia,Fulton,30024
